Name,Url,PaperCount,AuthorContribution
Parisa Eslambolchilar,https://dl.acm.org/profile/81350582010,4,1.0666666666666667
William Delamare,https://dl.acm.org/profile/82259263457,4,1.1166666666666667
Florian Bemmann,https://dl.acm.org/profile/99659261936,4,1.2833333333333332
Anirudha Joshi,https://dl.acm.org/profile/81100643208,4,0.7250000000000001
Jakob Karolus,https://dl.acm.org/profile/99658725717,4,0.6857142857142857
Matthias Böhmer,https://dl.acm.org/profile/81548020557,4,1.2833333333333332
Xiang ‘Anthony’ Chen,https://dl.acm.org/profile/81498649386,4,0.9
Céline Coutrix,https://dl.acm.org/profile/81309485815,4,1.0
Hironobu Takagi,https://dl.acm.org/profile/81408594028,4,0.6190476190476191
Jorge Gonçalves,https://dl.acm.org/profile/81488650470,4,0.7666666666666667
Chris Harrison,https://dl.acm.org/profile/81350573130,4,1.0333333333333332
Richard H R Harper,https://dl.acm.org/profile/81452613064,4,1.2
Antonio Krüger,https://dl.acm.org/profile/81100607196,4,0.7333333333333334
James R Clawson,https://dl.acm.org/profile/81100469379,4,0.9833333333333334
Heinrich Hussmann,https://dl.acm.org/profile/81100395854,4,0.9
Vassilis Kostakos,https://dl.acm.org/profile/81100283202,4,0.7095238095238096
Wei Li,https://dl.acm.org/profile/81392599313,4,0.6837662337662338
Nicolai Marquardt,https://dl.acm.org/profile/81324491951,4,0.7833333333333333
Kori Marie Inkpen,https://dl.acm.org/profile/81100519232,4,1.0833333333333333
Reinhard Sefelin,https://dl.acm.org/profile/81100509383,4,0.95
Robert M Hardy,https://dl.acm.org/profile/81371593197,4,1.25
Mauro Cherubini,https://dl.acm.org/profile/99659582359,4,1.0833333333333333
Jasmin Niess,https://dl.acm.org/profile/99659260376,4,0.775
Chieko Asakawa,https://dl.acm.org/profile/81100044475,4,0.6190476190476191
Aaron John Quigley,https://dl.acm.org/profile/81331502006,4,0.8111111111111111
Jeni Paay,https://dl.acm.org/profile/81100423598,4,1.15
Shota Yamanaka,https://dl.acm.org/profile/83059053057,4,1.6761904761904762
David Ahlström,https://dl.acm.org/profile/81100415845,4,1.4166666666666665
Simon Tangi Perrault,https://dl.acm.org/profile/81484656821,4,0.8666666666666667
Andreas Riener,https://dl.acm.org/profile/81317499659,3,0.75
Max Pfeiffer,https://dl.acm.org/profile/81460648607,3,1.0
Yuanchun Shi,https://dl.acm.org/profile/81100647319,3,0.8333333333333333
Sunjun Kim,https://dl.acm.org/profile/81460641074,3,0.7333333333333334
Roshan Lalintha Peiris,https://dl.acm.org/profile/81385592390,3,0.6166666666666667
Rainer Simon,https://dl.acm.org/profile/81329491940,3,0.8333333333333333
Gregor Broll,https://dl.acm.org/profile/81331489201,3,0.8611111111111112
Sachi Mizobuchi,https://dl.acm.org/profile/81100643154,3,0.7261904761904762
Anthony Tang,https://dl.acm.org/profile/81100640680,3,0.5333333333333333
John C Tang,https://dl.acm.org/profile/81405592014,3,1.0833333333333333
Niels van Berkel,https://dl.acm.org/profile/99658743711,3,0.5095238095238095
J. Mankoff,https://dl.acm.org/profile/81100650762,3,0.65
Vidya Raghavan Setlur,https://dl.acm.org/profile/81100609586,3,0.8666666666666667
Seita Kayukawa,https://dl.acm.org/profile/99659261707,3,0.45238095238095233
Shumin Zhai,https://dl.acm.org/profile/81408591988,3,1.0
Craig D Stewart,https://dl.acm.org/profile/81460653697,3,0.7333333333333334
Masaki Kuribayashi,https://dl.acm.org/profile/99659701839,3,0.45238095238095233
Andrew Crossan,https://dl.acm.org/profile/81100494227,3,0.7
Teija Vainio,https://dl.acm.org/profile/81100495234,3,0.6166666666666667
Carman Gerard Neustaedter,https://dl.acm.org/profile/81100495977,3,0.7
Marco de Sá,https://dl.acm.org/profile/81452605119,3,1.5
Mark Rouncefield,https://dl.acm.org/profile/81100589917,3,0.43452380952380953
Hui-Shyong Yeo,https://dl.acm.org/profile/99658693776,3,0.5611111111111111
Ashley Colley,https://dl.acm.org/profile/81324488657,3,0.5833333333333333
Jani Heikkinen,https://dl.acm.org/profile/81442604371,3,0.7
Jörg Müller,https://dl.acm.org/profile/81436600078,3,0.8333333333333333
Nirmal J Patel,https://dl.acm.org/profile/81100489850,3,0.7833333333333333
Jaime Teevan,https://dl.acm.org/profile/81100167805,3,0.7
Juyoung Lee,https://dl.acm.org/profile/99658991091,3,0.5611111111111111
Moira McGregor,https://dl.acm.org/profile/81556738156,3,1.0
Alireza Sahami Shirazi,https://dl.acm.org/profile/81442606311,3,0.6761904761904762
Frederic Kerber,https://dl.acm.org/profile/81549330556,3,0.9166666666666666
Patricia Maes,https://dl.acm.org/profile/81100086306,3,0.7
Philipp Wintersberger,https://dl.acm.org/profile/81548561856,3,0.75
Alireza Sahami Shirazi,https://dl.acm.org/profile/81548021084,3,0.65
Dieter Schmalstieg,https://dl.acm.org/profile/81100091694,3,1.1666666666666665
Tanzeem Khalid Choudhury,https://dl.acm.org/profile/81100078026,3,0.5178571428571428
Yuchih Lin,https://dl.acm.org/profile/81555377556,3,0.43452380952380953
Shigeo Morishima,https://dl.acm.org/profile/81100066959,3,0.45238095238095233
Feng Tian,https://dl.acm.org/profile/81100106876,3,0.6583333333333333
Jason Alexander,https://dl.acm.org/profile/81548019697,3,0.7833333333333333
Marios Constantinides,https://dl.acm.org/profile/99660641847,3,0.7
Aku Visuri,https://dl.acm.org/profile/99659071495,3,0.43452380952380953
